,symbol,peRatio,stockPrice,pbRatio
56,ICD,-0.4,3.57,-0.4
32,LPI,2.0,68.71,2.0
15,TGA,2.0,3.44,2.0
51,DLNG,2.4,3.28,2.4
65,CPE,2.7,41.22,2.7
135,PBR.A,2.9,12.38,2.9
35,CHRD,3.1,137.26,3.1
88,PBF,3.1,34.73,3.1
33,E,3.2,24.14,3.2
93,PBR,3.2,13.62,3.2
66,CPG,3.3,7.68,3.3
92,EC,3.5,11.22,3.5
136,EGY,3.7,5.24,3.7
7,YPF,3.8,4.41,3.8
133,APA,3.9,34.7,3.9
71,GLNG,4.1,27.19,4.1
27,TGS,4.1,6.56,4.1
6,GLP,4.2,28.27,4.2
103,CRC,4.6,46.01,4.6
43,SD,4.8,19.25,4.8
122,PTR,4.9,44.2,4.9
63,PDCE,5.0,63.36,5.0
77,CIVI,5.4,64.96,5.4
38,OVV,5.4,50.89,5.4
68,VIST,5.4,9.13,5.4
76,VET,5.6,25.46,5.6
120,CDEV,5.6,7.29,5.6
44,SNP,5.6,46.33,5.6
37,MRO,5.7,24.06,5.7
48,SM,5.8,42.18,5.8
80,DK,5.9,28.4,5.9
18,OMP,6.2,23.86,6.2
87,FANG,6.2,133.13,6.2
42,SBOW,6.3,43.47,6.3
83,OXY,6.3,65.73,6.3
1,RNGR,6.3,8.9,6.3
52,SU,6.4,32.75,6.4
141,MGY,6.4,23.65,6.4
67,ROCC,6.5,37.94,6.5
75,CSAN,6.5,16.4,6.5
0,MPC,6.5,97.47,6.5
24,ERF,6.6,14.58,6.6
10,DINO,6.6,51.63,6.6
47,VLO,6.6,115.19,6.6
29,LPG,6.8,15.42,6.8
114,TTE,6.8,54.02,6.8
69,CTRA,6.9,28.66,6.9
41,MTDR,7.0,60.78,7.0
73,SGU,7.2,9.77,7.2
14,SUN,7.3,39.88,7.3
34,CNQ,7.4,56.29,7.4
49,PBFX,7.5,18.56,7.5
55,HMLP,7.5,9.17,7.5
39,EQNR,7.6,37.96,7.6
102,PSX,7.7,90.0,7.7
116,BPT,7.8,15.8,7.8
109,ESTE,7.8,15.07,7.8
117,MVO,7.9,11.87,7.9
113,GPRK,8.1,13.45,8.1
78,GPP,8.1,13.7,8.1
140,DVN,8.3,65.55,8.3
91,TALO,8.4,19.37,8.4
4,CLR,8.5,68.61,8.5
53,COP,8.5,102.75,8.5
79,CHK,8.5,98.21,8.5
94,NOA,8.6,11.82,8.6
70,TS,8.7,27.38,8.7
98,VOC,8.7,7.75,8.7
62,NESR,8.8,6.87,8.8
99,ET,9.3,11.67,9.3
100,DCP,9.5,35.12,9.5
134,HEP,9.5,17.05,9.5
26,PXD,9.6,232.95,9.6
23,CVI,9.8,32.06,9.8
132,DMLP,9.9,28.87,9.9
46,RDS.A,9.9,51.04,9.9
36,MPLX,10.3,32.42,10.3
22,XOM,10.3,94.0,10.3
31,WES,10.5,28.17,10.5
54,EPSN,10.5,6.48,10.5
30,CVX,10.7,159.85,10.7
96,MUR,10.7,35.23,10.7
95,NOG,10.7,26.11,10.7
101,MMP,11.1,51.64,11.1
124,PARR,11.4,19.55,11.4
17,CVE,11.4,18.68,11.4
128,FLNG,11.6,35.25,11.6
126,EOG,11.7,114.49,11.7
131,DEN,12.1,80.24,12.1
138,EPD,12.3,27.15,12.3
90,VVV,12.5,29.99,12.5
8,BSM,12.6,15.12,12.6
82,NFG,13.4,72.11,13.4
16,AR,13.5,40.26,13.5
110,MNRL,14.2,29.19,14.2
60,PAA,14.2,11.66,14.2
89,PNRG,14.7,82.0,14.7
12,AM,15.1,10.43,15.1
129,SBR,15.1,74.24,15.1
106,CRK,15.3,17.41,15.3
58,KOS,15.4,6.5,15.4
127,SJT,15.4,14.1,15.4
21,HESM,15.9,29.97,15.9
59,RTLR,16.1,14.96,16.1
64,REGI,16.5,61.5,16.5
2,RRC,16.6,34.11,16.6
123,DNOW,17.2,11.35,17.2
9,KMI,17.5,18.69,17.5
50,PHX,17.8,3.38,17.8
130,OKE,18.3,64.35,18.3
81,PBA,18.5,37.58,18.5
61,HAL,18.6,29.55,18.6
3,SLB,20.2,37.14,20.2
86,TRP,20.3,51.15,20.3
108,PAGP,20.4,11.84,20.4
121,INT,20.4,28.21,20.4
115,CAPL,20.7,21.14,20.7
97,BKEP,20.9,4.64,20.9
118,KRP,21.1,17.75,21.1
107,VNOM,21.4,31.72,21.4
74,RES,21.8,7.84,21.8
105,ENB,23.0,43.51,23.0
28,HPK,23.3,20.96,23.3
104,NE,23.3,32.84,23.3
137,HES,24.1,113.72,24.1
13,WMB,26.7,34.16,26.7
112,ENLC,27.1,9.87,27.1
84,CHX,28.6,22.28,28.6
40,TPL,34.2,1676.44,34.2
57,SOI,34.6,11.06,34.6
85,WHD,35.1,43.56,35.1
125,AROC,36.5,7.96,36.5
20,WTTR,38.6,6.95,38.6
119,TTI,51.8,4.14,51.8
72,NEX,51.9,9.34,51.9
111,TRGP,79.0,69.53,79.0
45,PFHC,79.0,20.3,79.0
139,CLB,90.3,17.16,90.3
11,AMPY,125.3,7.52,125.3
5,BRY,235.3,9.41,235.3
25,KNTK,237.3,39.16,237.3
19,VTOL,327.1,28.79,327.1
